date,gold_kzt,gold_kzt_variability
10-10-2025,70350.54,
09-10-2025,70056.7,-0.42
08-10-2025,68998.73,-1.51
07-10-2025,69156.38,0.23
06-10-2025,67966.79,-1.72
03-10-2025,68186.51,0.32
02-10-2025,68611.36,0.62
01-10-2025,67195.84,-2.06
30-09-2025,67273.96,0.12
29-09-2025,65597.0,-2.49
26-09-2025,65349.61,-0.38
25-09-2025,65757.84,0.62
24-09-2025,66382.16,0.95
23-09-2025,64925.56,-2.19
22-09-2025,63645.36,-1.97
19-09-2025,63917.1,0.43
18-09-2025,63830.3,-0.14
17-09-2025,64102.68,0.43
16-09-2025,63302.28,-1.25
15-09-2025,63386.84,0.13
12-09-2025,62683.57,-1.11
11-09-2025,63095.6,0.66
10-09-2025,63059.66,-0.06
09-09-2025,62118.04,-1.49
08-09-2025,61370.23,-1.2
05-09-2025,61455.51,0.14
04-09-2025,61426.02,-0.05
03-09-2025,60332.64,-1.78
02-09-2025,60060.41,-0.45
29-08-2025,58746.74,-2.19
28-08-2025,58456.84,-0.49
27-08-2025,57893.53,-0.96
26-08-2025,57356.58,-0.93
25-08-2025,57501.05,0.25
22-08-2025,57740.29,0.42
21-08-2025,57888.24,0.26
20-08-2025,57797.17,-0.16
19-08-2025,58133.79,0.58
18-08-2025,58156.15,0.04
15-08-2025,58064.42,-0.16
14-08-2025,58149.4,0.15
13-08-2025,58364.63,0.37
12-08-2025,58588.52,0.38
11-08-2025,58922.72,0.57
08-08-2025,58543.93,-0.64
07-08-2025,58011.44,-0.91
06-08-2025,58123.66,0.19
05-08-2025,58514.37,0.67
04-08-2025,57547.31,-1.65
01-08-2025,57493.61,-0.09
31-07-2025,58524.25,1.79
30-07-2025,57943.67,-0.99
29-07-2025,58111.46,0.29
28-07-2025,58625.66,0.88
24-07-2025,59402.23,1.32
23-07-2025,57903.62,-2.52
22-07-2025,57237.81,-1.15
21-07-2025,57499.92,0.46
18-07-2025,57024.21,-0.83
17-07-2025,56527.25,-0.87
16-07-2025,56799.45,0.48
15-07-2025,56691.65,-0.19
14-07-2025,55873.13,-1.44
11-07-2025,55428.68,-0.8
10-07-2025,54862.01,-1.02
09-07-2025,55497.8,1.16
08-07-2025,55218.91,-0.5
04-07-2025,55960.29,1.34
03-07-2025,55639.38,-0.57
02-07-2025,55815.77,0.32
01-07-2025,54752.41,-1.91
30-06-2025,54982.01,0.42
27-06-2025,55664.49,1.24
26-06-2025,55384.95,-0.5
25-06-2025,55417.71,0.06
24-06-2025,56598.05,2.13
23-06-2025,56262.06,-0.59
20-06-2025,56299.73,0.07
19-06-2025,56401.35,0.18
18-06-2025,56240.19,-0.29
17-06-2025,56301.14,0.11
16-06-2025,56291.74,-0.02
13-06-2025,55292.13,-1.78
12-06-2025,54498.32,-1.44
11-06-2025,54394.04,-0.19
10-06-2025,54241.57,-0.28
09-06-2025,55049.25,1.49
05-06-2025,55324.92,0.5
04-06-2025,55290.74,-0.06
03-06-2025,54996.55,-0.53
02-06-2025,54089.72,-1.65
30-05-2025,53685.72,-0.75
29-05-2025,54748.77,1.98
28-05-2025,54268.9,-0.88
27-05-2025,54714.6,0.82
26-05-2025,54693.19,-0.04
23-05-2025,53895.03,-1.46
22-05-2025,54340.57,0.83
21-05-2025,53266.03,-1.98
20-05-2025,53191.54,-0.14
19-05-2025,52584.24,-1.14
16-05-2025,52059.39,-1.0
15-05-2025,52583.81,1.01
14-05-2025,53363.37,1.48
13-05-2025,53228.09,-0.25
12-05-2025,55152.98,3.62
08-05-2025,55840.17,1.25
06-05-2025,54398.72,-2.58
05-05-2025,54150.08,-0.46
02-05-2025,53134.92,-1.87
30-04-2025,54602.1,2.76
29-04-2025,54147.55,-0.83
28-04-2025,54632.61,0.9
25-04-2025,55385.64,1.38
24-04-2025,55542.01,0.28
23-04-2025,57542.65,3.6
22-04-2025,55741.3,-3.13
21-04-2025,55780.85,0.07
18-04-2025,55919.79,0.25
17-04-2025,55421.66,-0.89
16-04-2025,53635.47,-3.22
15-04-2025,53658.73,0.04
14-04-2025,53205.9,-0.84
11-04-2025,51456.75,-3.29
10-04-2025,50949.46,-0.99
09-04-2025,50062.25,-1.74
08-04-2025,50410.43,0.7
07-04-2025,50108.93,-0.6
04-04-2025,50444.08,0.67
03-04-2025,50575.13,0.26
02-04-2025,50657.17,0.16
01-04-2025,50603.79,-0.11
31-03-2025,49695.43,-1.8
28-03-2025,48885.52,-1.63
27-03-2025,48753.22,-0.27
26-03-2025,48844.23,0.19
20-03-2025,48803.9,-0.08
19-03-2025,48226.19,-1.18
18-03-2025,48071.75,-0.32
17-03-2025,48720.41,1.35
14-03-2025,46889.49,-3.76
13-03-2025,45820.84,-2.28
12-03-2025,45760.41,-0.13
11-03-2025,46170.89,0.9
07-03-2025,46267.28,0.21
06-03-2025,46594.49,0.71
05-03-2025,46780.72,0.4
04-03-2025,46026.12,-1.61
03-03-2025,45926.32,-0.22
28-02-2025,46622.88,1.52
27-02-2025,46956.31,0.72
26-02-2025,47170.64,0.46
25-02-2025,47544.47,0.79
24-02-2025,47328.68,-0.45
21-02-2025,47448.59,0.25
20-02-2025,47674.07,0.48
19-02-2025,46563.52,-2.33
18-02-2025,46473.17,-0.19
17-02-2025,46784.4,0.67
14-02-2025,46700.25,-0.18
13-02-2025,46472.37,-0.49
12-02-2025,47329.63,1.84
11-02-2025,47523.6,0.41
10-02-2025,47109.59,-0.87
07-02-2025,47403.22,0.62
06-02-2025,47672.95,0.57
05-02-2025,47056.59,-1.29
04-02-2025,46857.42,-0.42
03-02-2025,46502.45,-0.76
31-01-2025,46381.88,-0.26
30-01-2025,45853.26,-1.14
29-01-2025,45528.86,-0.71
28-01-2025,45974.1,0.98
27-01-2025,46135.05,0.35
24-01-2025,46142.5,0.02
23-01-2025,46226.01,0.18
22-01-2025,46160.63,-0.14
21-01-2025,46134.65,-0.06
20-01-2025,46105.06,-0.06
17-01-2025,46104.2,-0.0
16-01-2025,45753.47,-0.76
15-01-2025,45455.75,-0.65
14-01-2025,45536.0,0.18
13-01-2025,45382.74,-0.34
10-01-2025,44984.27,-0.88
09-01-2025,44978.2,-0.01
08-01-2025,44830.75,-0.33
06-01-2025,44897.03,0.15
05-01-2025,44811.69,-0.19
31-12-2024,43937.1,-1.95
30-12-2024,44047.75,0.25
27-12-2024,43298.53,-1.7
26-12-2024,43271.63,-0.06
25-12-2024,43352.31,0.19
24-12-2024,44124.79,1.78
23-12-2024,43894.06,-0.52
20-12-2024,44162.7,0.61
19-12-2024,44500.08,0.76
18-12-2024,44559.07,0.13
17-12-2024,44699.82,0.32
13-12-2024,45620.9,2.06
12-12-2024,44830.77,-1.73
11-12-2024,43619.63,-2.7
10-12-2024,43554.49,-0.15
09-12-2024,43624.54,0.16
06-12-2024,44685.57,2.43
05-12-2024,44474.92,-0.47
04-12-2024,44495.6,0.05
03-12-2024,44478.91,-0.04
02-12-2024,43790.71,-1.55
29-11-2024,43647.96,-0.33
28-11-2024,42525.87,-2.57
27-11-2024,42160.43,-0.86
26-11-2024,42799.75,1.52
25-11-2024,43359.55,1.31
22-11-2024,42476.1,-2.04
21-11-2024,41781.61,-1.64
20-11-2024,42141.67,0.86
19-11-2024,41461.12,-1.61
18-11-2024,40926.45,-1.29
15-11-2024,40463.39,-1.13
14-11-2024,41295.73,2.06
13-11-2024,41226.64,-0.17
12-11-2024,42299.02,2.6
11-11-2024,42449.91,0.36
08-11-2024,42206.71,-0.57
07-11-2024,43135.76,2.2
06-11-2024,43049.92,-0.2
05-11-2024,43130.45,0.19
04-11-2024,43114.44,-0.04
01-11-2024,43630.81,1.2
31-10-2024,43719.24,0.2
30-10-2024,43460.0,-0.59
29-10-2024,42822.11,-1.47
28-10-2024,42411.19,-0.96
24-10-2024,42608.72,0.47
23-10-2024,42553.36,-0.13
22-10-2024,42344.39,-0.49
21-10-2024,42285.77,-0.14
