date,title,description
11.10.2025,Президент поучаствовал в экоакции «Таза Қазақстан»,Касым-Жомарт Токаев поблагодарил молодежь за участие в общественной работе
11.10.2025,Какие статьи на Kapital.kz вошли в топ-5 на этой неделе ,"Назначение замакима Алматинской области, беспилотное такси в Астане и новый руководитель алматинского филиала одной из старейших британских школ"
11.10.2025,Университет Нархоз посетила делегация из Великобритании,На встрече обсудили перспективы углубления партнерства с британскими учебными заведениями
10.10.2025,В полиции предупредили о новой схеме интернет-мошенничества,Мошенники рассылают фальшивые постановления о нарушении ПДД
10.10.2025,В Казахстане установят единые межремонтные сроки для автодорог,Документ будет распространяться на трассы республиканского и регионального значения и станет обязательным
10.10.2025, Какие инициативы озвучил президент на саммите в Душанбе,"СНГ доказало свою востребованность в качестве действенного международного механизма, считает Касым-Жомарт Токаев"
10.10.2025,"Премьер о водном вопросе: У каждой страны есть свои интересы, мы обязаны и будем их отстаивать",Олжас Бектенов провел встречу с участниками заседания правления Международного фонда спасения Арала
10.10.2025,Поток туристов из Таиланда увеличился в два раза,Растет число гостей из стран Юго-Восточной Азии
10.10.2025,Уклонение от уплаты налогов: подозреваемого экстрадировали из ОАЭ,Ему грозит от пяти до восьми лет лишения свободы
09.10.2025,"Для казахстанцев обновили правила въезда в Египет, Латвию, Мексику и Россию",Об изменениях рассказали в министерстве иностранных дел
09.10.2025,Первый форум ректоров Центральной Азии и России может пройти в РК,Странам региона также предложили создать совместную онлайн-библиотеку с доступом к образовательным материалам университетов
09.10.2025,В Казахстане предложили создать совет по ядерным компетенциям,"Взаимодействие в атомной промышленности обеспечит развитие целого ряда сопутствующих отраслей, считает глава РК"
09.10.2025,Касым-Жомарт Токаев: Потенциал Центральной Азии признается в основных государствах мира,"Он отметил, что ситуация в регионе эволюционировала в сторону политической солидарности и экономического сотрудничества"
09.10.2025,Глава государства провел встречу с президентом Таджикистана,"Стороны обсудили ход реализации наиболее важных договоренностей, достигнутых на высшем уровне"
09.10.2025,Касым-Жомарт Токаев прибыл с визитом в Душанбе,В международном аэропорту его встретил премьер-министр Таджикистана
09.10.2025,Устраивают ли условия жизни казахстанцев,Уверены в своем положительном будущем 73% граждан
09.10.2025,Касым-Жомарт Токаев выразил поддержку соглашению о прекращении огня в секторе Газа,"Глава государства отметил продуктивность посреднической деятельности Египта, Катара, Турции"
08.10.2025,Казахстан и Германия могут открыть водный инновационный хаб,Подписано соглашение о стратегическом партнерстве с German Water Partnership
08.10.2025,ЮНИСЕФ мобилизует бизнес в защиту психического здоровья подростков,"Организаторы благотворительного гала-ужина представили программу вечера, формат аукциона и культурную часть"
08.10.2025,В Казахстане создадут центр реставрации музейных экспонатов,Его откроют на базе национального музея
08.10.2025,Президент посетит с визитом Душанбе,Глава государства примет участие в саммите Центральная Азия – Россия
08.10.2025,Президент утвердил рабочую группу по парламентской реформе,"Среди членов рабочей группы - Ерлан Карин, Магеррам Магеррамов, Марат Шибутов, Андрей Чеботарев, Азат Перуашев"
08.10.2025,В филиале Правительство для граждан организовали незаконную разработку месторождения,Для этого зарегистрировали и использовали подконтрольное им ТОО
08.10.2025,Онлайн-курсы на платформе профобразования Skills Enbek можно пройти за три дня,"С начала года по ней обучилось 345,8 тыс. казахстанцев"
07.10.2025,Парк общественного транспорта Астаны увеличится на 300 автобусов ,На сегодня в столицу доставлено 118 единиц пассажирского транспорта
07.10.2025,"Инициировано расследование после того, как Павел Дуров искупался в озере Кольсай",В отношении ответственных должностных лиц примут меры дисциплинарного взыскания
07.10.2025,Предложено создать формат «Организация тюркоязычных государств +» ,"Эта инициатива призвана повысить международный авторитет организации, считает Касым-Жомарт Токаев"
07.10.2025,В аэропортах Астаны и Алматы проверят соблюдение расписания рейсов,Талгат Ластаев поручил проработать запрет авиакомпаниям на замену воздушного судна и предусмотреть обязательный резерв по замене бортов
07.10.2025,В Казахстане 130 криптообменников занимались отмыванием преступных доходов,"Арестованы и изъяты виртуальные активы на 16,7 млн долларов"
07.10.2025,В Казахстане ежегодно проводится около 75 тысяч абортов,В стране намерены снизить эту статистику через доступ к современным методам планирования семьи
07.10.2025,На оказание медицинской помощи из госбюджета выделено 3 трлн тенге,Премьер поручил Минздраву обеспечить жесткий контроль за эффективным использованием средств и качеством медуслуг
07.10.2025,"Интергаз Центральная Азия оштрафовали на 1,2 млрд тенге",Компания нарушила экологическое законодательство
07.10.2025,Число приписок в медицинской системе снизилось в 17 раз - ФСМС,Новая система мониторинга была запущена в опытную эксплуатацию в июле
