date,title,description
11.10.2025,В Караганде откроют новые социальные павильоны,Инициатива помогает сдерживать цены на социально значимые продукты питания
10.10.2025,В ноябре состоится визит президента Казахстана в Россию,"Страны уже реализовали 114 проектов на сумму почти 22 млрд долларов, и эта работа будет продолжаться, сказал Касым-Жомарт Токаев"
10.10.2025,В рейтинге стран по индексу экономической свободы Казахстан занял 67-е место,По сравнению с другими странами СНГ общий показатель РК можно считать высоким
10.10.2025,"Казахстану интересен опыт российских наукоградов, заявил вице-премьер  ",Элементы Новосибирской научно-инновационной экосистемы планируют внедрить в РК
10.10.2025,Более 2 млрд тенге выделено из Спецгосфонда на объекты водоснабжения в Кызылординской области,Их ввод в эксплуатацию намечен до конца 2025 года
10.10.2025,В сентябре работодатели чаще искали кадры средней квалификации,Каждая вторая вакансия на Enbek.kz размещена для соискателей рабочих профессий
09.10.2025,Президент рассказал о перспективных инфраструктурных проектах ,Касым-Жомарт Токаев предложил запустить Совместную программу по инвестиционному и инфраструктурному сопровождению восточной ветки коридора «Север – Юг»
09.10.2025,Казахстан предложил России создать кластеры глубокой переработки зерна,"Это позволит выпускать не только пшеницу и муку, но и продукцию с высокой добавленной стоимостью, считает Касым-Жомарт Токаев"
09.10.2025,В области Жетісу начали выращивать арахис,Засухоустойчивая культура может стать новым сельхозбрендом региона благодаря высокой урожайности
09.10.2025,Инфляция и стабильность: какую стратегию выбирает Казахстан?,Одним из ключевых вызовов остаются инфляционные ожидания граждан и бизнеса
09.10.2025,В Казахстане отменяют налоговые проверки на 2025 год - Максим Барышев,"Закрытые критерии системы управления рисками приводили к тому, что под проверки попадали честные предприниматели"
09.10.2025,Лесной резерват Семей орманы недоплатил налоги на 200 млн тенге,Проверку провела прокуратура области Абай
09.10.2025,Казахстан поднимет вопрос заторов на границе с Россией в ЕЭК,В правительстве обсудили ситуацию с накоплением транспорта на пунктах пропуска и жалобами водителей из-за новых норм миграционного законодательства РФ
09.10.2025,БНС опубликовало данные по медианной и средней зарплате,Расчеты проведены на основе данных по крупным предприятиям и части малого и среднего бизнеса
09.10.2025,В Актюбинской области построили врачебную амбулаторию за 190 млн тенге,Деньги на строительство выделили из Специального госфонда
09.10.2025,КазМунайГаз-Аэро построит новую нефтебазу в Туркестанской области,Она будет включать резервуарный парк объемом 20 тысяч кубометров
09.10.2025,Казахстан и Катар договорились о защите трудовых прав работников,"Сенат утвердил соглашение, обеспечивающее казахстанцам в этой арабской стране гарантии"
09.10.2025,В Казахстане поменяют подход к определению МЗП,"При расчете минимальной зарплаты будут учитывать повседневные потребности работников, общую стоимость жизни и экономическую ситуацию в стране"
09.10.2025,За счет каких средств завершат реконструкцию ВПП аэропорта Павлодара  ,"На это требуется 9,3 млрд тенге"
08.10.2025,"Казахстан и Узбекистан прорабатывают 34 проекта на $4,4 млрд","А также семь торговых контрактов на 2,6 млрд долларов"
08.10.2025,Обсуждается целесообразность продления экспортной пошлины на семена подсолнечника,"АЗРК проанализирует рынок оптовой продажи подсолнечного масла и закупочные цены предприятий, после чего вопрос рассмотрят повторно"
08.10.2025,"Нарушения на 337,5 млрд тенге выявили госаудиторы за восемь месяцев",Министр финансов Мади Такиев рассказал президенту об исполнении республиканского бюджета
08.10.2025,Депутат предложил продлить льготный режим на ввоз электромобилей на три года,"Олжас Нуралдинов считает, что доля электромобилей в общем парке все еще крайне незначительна"
08.10.2025,Ветлабораторию по межправсоглашению Казахстана и Китая открыли в ВКО,Она аккредитована в соответствии с китайскими и международными стандартами
08.10.2025,Президент провел совещание по вопросам макроэкономической стабильности,Глава государства отметил необходимость перехода от количественных показателей роста к качественным преобразованиям
08.10.2025,"За год тренажерные залы в Казахстане подорожали на 9,5% ","В стране 53,5% граждан не занимаются никаким спортом"
08.10.2025,Депутат Бакытжан Базарбек требует запретить строительство на сейсмических разломах,Мажилисмен раскритиковал слабые положения Строительного кодекса
08.10.2025,С декабря откроют прямое авиасообщение между Алматы и Бангкоком,Полеты будет выполнять AirAsia
08.10.2025,В Жамбылской области завысили сумму штрафа китайскому предприятию   ,После вмешательства природоохранной прокуратуры размер взыскания снизили в четыре раза
08.10.2025,Две скорости казахстанской экономики: почему сырье уступит цифре,Ключевая роль в создании добавленной стоимости переходит от сырьевых гигантов к цифровым платформам и брендам
07.10.2025,Президент предложил создать Клуб исследователей тюркского мира,"Его можно сформировать на базе Тюркской академии, сказал Касым-Жомарт Токаев во время XII саммита Организации тюркских государств"
07.10.2025,"В ОТГ необходимо создать Совет передового опыта по энергоэффективности, полагает президент ","В нынешних условиях первостепенного внимания требует развитие энергетики, отметил глава государства"
07.10.2025,Казахстан предлагает принять Программу промышленной кооперации тюркских стран,"Касым-Жомарт Токаев также сказал, что необходимо сосредоточиться на полной реализации программы «Перспективы тюркского мира – 2040»"
07.10.2025,Переход к производствам с высокой добавленной стоимостью принесет Евразии свыше $500 млрд в год,"Химическая промышленность, машиностроение, металлургия и пищевая индустрия – секторы с наибольшим потенциалом роста"
07.10.2025,Центр обработки данных Комитета госдоходов создадут в Казахстане ,Такое поручение дал премьер-министр
07.10.2025,"Всемирный банк ожидает рост ВВП Казахстана на 5,5% в 2025 году","Аналитики прогнозируют рост экономики на 4,5% в 2026 году и 3,9% в 2027 году"
07.10.2025,После проверок компаниям доначислили акцизы более чем на 7 млрд тенге,"За девять месяцев изъято свыше 1 млн литров алкоголя и 6,6 млн пачек сигарет"
07.10.2025,Услуги стоматологии исключили из программы досрочных изъятий из ЕНПФ,Решение принято на фоне уголовных дел по нецелевому использованию пенсионных средств
07.10.2025,В 2024 году 260 тысяч налогоплательщиков ежедневно пробивали один чек в месяц,"Внедрение цифровых решений позволит оперативно выявлять и пресекать такие факты, считает Мади Такиев"
07.10.2025,"Moody’s, S&P и Fitch оценили экономическую политику Казахстана",Международные агентства отметили меры по укреплению финансовой системы и снижению зависимости от сырьевых доходов
07.10.2025,С 2026 года лекарства для амбулаторного лечения можно будет получать в частных аптеках ,Также в следующем году граждане будут иметь доступ к своим электронным паспортам здоровья
07.10.2025,К 2027 году запланирован поэтапный перенос обязательств с ГОБМП в ОСМС почти на 700 млрд тенге ,К этому времени Минздрав пересмотрит все тарифы на услуги стационаров
07.10.2025,Казахстан планирует нарастить экспорт нефти в Германию в 2026 году,Ежемесячные поставки в ФРГ намечено увеличить до 130 тысяч тонн
07.10.2025,"За год медианная заработная плата, которую предлагают в Казахстане, снизилась на 2,9%",Обзор ключевых показателей рынка труда
