date,title,description
11.10.2025,"Курсы валют на 11 октября, цены на нефть и металлы ","Официальный курс – 539,06 тенге за доллар США"
11.10.2025,Наследство: как избежать проблем и оформить его правильно,Вместе с активами наследуются и долги
10.10.2025,"Средневзвешенный курс доллара на бирже составил 539,06 тенге ","За неделю нацвалюта укрепилась на 6,61 тенге"
10.10.2025,Тимур Сулейменов прокомментировал «перетягивание каната» между Нацбанком и кабмином ,"Глава монетарного регулятора заявил, что разногласий в борьбе с инфляцией нет"
10.10.2025,Почему не получается затормозить рост потребкредитов в Казахстане?,"Слишком жесткие меры могут привести к появлению серого и даже черного рынков, считает Тимур Сулейменов"
10.10.2025,Зачем Нацбанк снова обновил дизайн тенге,За счет каких средств разработали новые купюры
10.10.2025,Нацбанк не исключает нового повышения базовой ставки ,"Следующее решение может быть принято в ноябре, после переоценки экономических рисков и инфляционных ожиданий"
10.10.2025,Нацбанк повысил базовую ставку до 18%,НБРК готов к дополнительным мерам при сохранении инфляционного давления
10.10.2025,МВФ и Банк Англии предупредили о пузыре на рынке искусственного интеллекта ,"На этом фоне биржевые индексы США продемонстрировали снижение на 0,1-0,5%"
10.10.2025,На бирже доллар продается возле отметки 541 тенге,"В обменных пунктах Астаны максимальный курс продажи американской валюты составил 546 тенге, Алматы – 545 тенге"
10.10.2025,"Курсы валют на 10 октября, цены на нефть и металлы","Официальный курс – 541,54 тенге за доллар США"
10.10.2025,"К 2050 году доля казахстанцев старше 60 лет достигнет 18,8%","Аналитики считают, что ставка обязательных пенсионных взносов в размере 10% «не обеспечивает формирование адекватного пенсионного дохода»"
09.10.2025,"Средневзвешенный курс доллара на бирже составил 541,54 тенге","В обменных пунктах столицы максимальный курс продажи американской валюты – 546 тенге, Алматы – 545 тенге"
09.10.2025,"В августе казахстанцы оформили новые займы на 1,8 трлн тенге","За восемь месяцев показатель достиг 12,9 трлн тенге, что на 13,1% больше по сравнению с аналогичным периодом прошлого года"
09.10.2025,"Объем вкладов населения и бизнеса в Казахстане достиг 42,8 трлн тенге","В августе депозиты выросли на 1,0%, в основном за счет увеличения средств в нацвалюте"
09.10.2025,Инвесторы ожидают повторное снижение ставки ФРС в октябре,В фокусе внимания – выступление председателя Федрезерва Джерома Пауэлла на конференции региональных банков
09.10.2025,Сколько заработали казахстанские страховые компании с начала 2025 года  ,"Страховые премии за год увеличились на 14,9%"
09.10.2025,На бирже доллар продается возле отметки 541 тенге,В обменных пунктах Астаны и Алматы максимальный курс продажи американской валюты составил 546 тенге
09.10.2025,"Рынок валютных вкладов, в какие банки несут доллары и евро казахстанцы?",Лидер по годовому росту срочных вкладов населения в иностранной валюте среди крупных банков Казахстана — Bank RBK
09.10.2025,"Курсы валют на 9 октября, цены на нефть и металлы","Официальный курс – 540,06 тенге за доллар США"
08.10.2025,"Средневзвешенный курс доллара на бирже составил 540,08 тенге   ","В обменных пунктах Астаны максимальный курс продажи американской валюты – 545 тенге, Алматы – 544,7 тенге"
08.10.2025,Halyk Bank увеличил финансирование для льготного кредитования бизнеса,По новому соглашению с Фондом «Даму» банк направит еще 18 млрд тенге на программу «Өрлеу»
08.10.2025,Галим Хусаинов высказался о новых инициативах по спасению банков,"Финансист считает, что подход к оценке «токсичного» системообразующего БВУ стоит пересмотреть"
08.10.2025,Казахстанский фондовый рынок отреагировал на глобальный уход от риска,Умеренные распродажи затронули пять компаний из представительского списка
08.10.2025,На бирже доллар продается возле отметки 540 тенге,В обменных пунктах Астаны и Алматы максимальный курс продажи американской валюты составил 546 тенге
08.10.2025,При каких условиях банки будут платить спецвзносы для спасения системных БВУ? ,Первый заместитель председателя Агентства по регулированию и развитию финансового рынка  рассказал о размере отчислений
08.10.2025,Жесткая денежно-кредитная политика сохранится как минимум еще год — эксперты,"К началу ноября курс доллара прогнозируется на уровне 544,1 тенге"
08.10.2025,"Курсы валют на 8 октября, цены на нефть и металлы  ","Официальный курс – 541,63 тенге за доллар США"
07.10.2025,"Средневзвешенный курс доллара на бирже составил 541,45 тенге  ",В обменных пунктах Астаны и Алматы максимальный курс продажи американской валюты – 548 тенге
07.10.2025,Для пополнения карт через банкоматы на сумму выше 500 тысяч тенге обяжут указывать ИИН ,Эту меру принимают для борьбы с анонимными транзакциями
07.10.2025,"Нацфонд – детям: совершеннолетние казахстанцы использовали более $22,29 млн","Из них 14,14 млн долларов направили для решения жилищных вопросов"
07.10.2025,Цена золота приближается к $4 тысячам за тройскую унцию ,"Рост обусловлен волнами политических изменений в США, Франции и Японии"
07.10.2025,На бирже доллар продается возле отметки 542 тенге,"В обменных пунктах Астаны максимальный курс продажи американской валюты составил 548 тенге, Алматы – 546 тенге"
07.10.2025,Финтех с человеческим лицом: как Bereke Bank создает сервисы через фидбек клиентов,"В банке провели Big Demo Day, где представили решения, формирующие будущее клиентского сервиса"
07.10.2025,"Курсы валют на 7 октября, цены на нефть и металлы ","Официальный курс – 545,67 тенге за доллар США"
06.10.2025,"Средневзвешенный курс доллара на бирже составил 545,67 тенге",В обменных пунктах Астаны и Алматы максимальный курс продажи американской валюты – 549 тенге
06.10.2025,В Казахстане 8 из 10 транзакций проходят через онлайн-банкинг и QR,Нацбанк опубликовал обзор рынка платежных услуг за первое полугодие
06.10.2025,KMF Банк наградил лучших предпринимательниц Казахстана,В Алматы состоялась пятая юбилейная Премия KMF ISKER HANYMY
06.10.2025,В условиях неопределенности растет спрос на защитные активы,Обзор от аналитиков BCC Invest
06.10.2025,Михаил Ломтадзе: Казахстан всегда будет родиной Kaspi.kz. Нас вдохновляют наши любимые клиенты,"Глава и сооснователь Kaspi.kz рассказал о громких реализованных проектах и о тех, которые, вопреки настойчивым слухам, пока даже не обсуждаются в компании"
06.10.2025,Криптовалюта у кассы: Казахстан тестирует оплату QR-кодом через Bybit,"Пилотная инициатива от Bybit Kazakhstan может изменить подход к цифровым платежам — криптовалюта становится ближе к повседневной торговле, а регуляторы наблюдают за процессом в защищённой среде"
06.10.2025,К чему может привести сокращение спреда между ставками по кредитам и депозитам ,Как банки могут изменить кредитную политику
06.10.2025,Акции и облигации продолжают ралли на фоне ажиотажа вокруг ИИ,Генеральный директор Goldman Sachs Дэвид Соломон предупреждает о риске коррекции в ближайшие 1-2 года
06.10.2025,На бирже доллар продается возле отметки 546 тенге,В обменных пунктах Астаны и Алматы максимальный курс продажи американской валюты составил 551 тенге
06.10.2025,Инвестиционные стратегии - обзор ключевых подходов и временных горизонтов,Почему один и тот же метод трейдинга может оказаться успешным для одного и провальным для другого?
06.10.2025,Казахстан меняет требования к корпоративному управлению банков ,Изменения предусмотрены в проекте закона
04.10.2025,"Курсы валют на 4-6 октября, цены на нефть и металлы ","Официальный курс – 547,57 тенге за доллар США"
03.10.2025,"Средневзвешенный курс доллара на бирже составил 547,57 тенге",За неделю нацвалюта незначительно укрепилась
03.10.2025,На рынок Казахстана планирует выйти венгерский OTP Bank,Банк входит в группу OTP Group
03.10.2025,Спрос на ИИ перевесил опасения инвесторов по поводу шатдауна в США,Полупроводники вытянули американские индексы на новые максимумы
03.10.2025,Freedom Bank представил бесплатный ChatGPT и AI-ассистента,О новых сервисах рассказали главный исполнительный директор Freedom Holding Corp. Тимур Турлов и член совета директоров Freedom Bank Айдос Жумагулов
03.10.2025,На бирже доллар продается возле отметки 547 тенге,"В обменных пунктах Астаны максимальный курс продажи американской валюты составил 552 тенге, Алматы – 550,5 тенге"
03.10.2025," Курсы валют на 3 октября, цены на нефть и металлы   ","Официальный курс – 546,96 тенге за доллар США"
02.10.2025,"Средневзвешенный курс доллара на бирже составил 546,99 тенге    ","В обменных пунктах столицы максимальный курс продажи американской валюты – 552 тенге, Алматы – 550,3 тенге"
02.10.2025,"По первой программе выкупа ГДР Halyk приобрел бумаги на $22,3 млн  ","Это 44,6% от запланированных 50 млн долларов"
02.10.2025,Рост инфляции усиливает вероятность ужесточения денежно-кредитной политики,"Месячный показатель ИПЦ ускорился до 1,1%, а годовой составил 12,9%"
02.10.2025,На бирже доллар продается возле отметки 547 тенге,"В обменных пунктах Астаны максимальный курс продажи американской валюты составил 551 тенге, Алматы – 550,3 тенге"
02.10.2025,Для МФО и коллекторов хотят ввести обязательное саморегулирование,Регулятор планирует внедрение двухуровневой системы надзора
02.10.2025,"Курсы валют на 2 октября, цены на нефть и металлы","Официальный курс – 549,15 тенге за доллар США"
02.10.2025,Евразийский банк представил президенту инновации с ИИ и продукт Eurasian Drive ,Более двух лет банк активно развивает направление искусственного интеллекта
01.10.2025,"Средневзвешенный курс доллара на бирже составил 548,91 тенге  ","В обменных пунктах столицы максимальный курс продажи американской валюты – 553 тенге, Алматы – 552 тенге"
01.10.2025,Kaspi.kz суперқосымшасында Glovo-мен тамақ жеткізу қызметі ,Компаниялар стратегиялық әріптестік туралы жариялады
01.10.2025,Финрегулятор выдал Halyk разрешение на покупку узбекского Click,Принято соответствующее постановление
01.10.2025,Доставка еды с Glovo в суперприложении Kaspi.kz ,Сервис уже доступен в крупнейших городах Казахстана
01.10.2025,"Продать валюту на 1,4 трлн тенге в рамках зеркалирования планирует Нацбанк до конца года",В октябре из Нацфонда намечено реализовать от 600 до 700 млн долларов
01.10.2025,На граждан оформляют фиктивные кредиты при участии банковских сотрудников - депутаты ,Парламентарии призывают принять меры против преступных схем
01.10.2025,Halyk запустил еще одну программу выкупа своих ГДР ,До 1 октября 2026 года банк планирует выкупить глобальные депозитарные расписки на 50 млн долларов
01.10.2025,"В первом полугодии текущий счет сложился с дефицитом в $3,9 млрд",Ухудшение произошло из-за роста импорта товаров и снижения экспорта
01.10.2025,На бирже доллар продается выше отметки 549 тенге,"В обменных пунктах Астаны максимальный курс продажи американской валюты составил 551 тенге, Алматы – 551,5 тенге"
01.10.2025,"Курсы валют на 1 октября, цены на нефть и металлы   ","Официальный курс – 549,06 тенге за доллар США"
30.09.2025,Есть ли риски для отрасли жилстройсбережений из-за допуска к системе БВУ?,Свое мнение высказали эксперты на конференции в Алматы
30.09.2025,"Средневзвешенный курс доллара на бирже составил 549,06 тенге","В обменных пунктах столицы максимальный курс продажи американской валюты – 552 тенге, Алматы – 551,7 тенге"
30.09.2025,В сентябре только два банка пересмотрели ставки по депозитам,Решение Нацбанка 10 октября повлияет на будущую динамику ставок по вкладам
30.09.2025,Три казахстанских банка запустили межбанковские QR-платежи,Решение реализовано на базе Национальной платежной корпорации
30.09.2025,QR для всех: БЦК подключил сервис межбанковских QR-платежей,Удобный инструмент для предпринимателей и покупателей
30.09.2025,Государственный фонд цифровых активов запустят в 2026 году,"Создана концепция ГФЦА, ведется работа по формированию операционной и технической инфраструктуры"
30.09.2025,Цены на нефть снижаются из-за ожиданий решения ОПЕК+ ,Члены альянса с высокой вероятностью одобрят очередное повышение объемов добычи
30.09.2025,КФУ погасил дебютный выпуск трехлетних облигаций с плавающим купоном,"На текущий момент общая сумма погашенных облигаций составляет 1,6 трлн тенге"
30.09.2025,На бирже доллар продается выше отметки 548 тенге,"В обменных пунктах Астаны максимальный курс продажи американской валюты составил 551 тенге, Алматы – 550 тенге"
30.09.2025,В Казахстане запускают программу агрострахования на основе ИИ,"Основная цель – защита фермеров от климатических рисков, которые напрямую влияют на продовольственную безопасность страны"
30.09.2025,"Курсы валют на 30 сентября, цены на нефть и металлы","Официальный курс – 548,79 тенге за доллар США"
30.09.2025,«МФО «Робокэш.кз» на два месяца приостанавливает выдачу микрокредитов ,В компании прокомментировали ситуацию
29.09.2025,Проект ГЦПНК впервые собрал рекордный бокс-офис,Фильм «Qaitadan» сняли при содействии Государственного центра поддержки национального кино
29.09.2025,Золото растет шестую неделю подряд,Обзор от аналитиков BCC Invest
29.09.2025,"Средневзвешенный курс доллара на бирже составил 548,77 тенге   ","В обменных пунктах столицы максимальный курс продажи американской валюты – 550 тенге, Алматы – 549 тенге"
29.09.2025,В Казахстане создали первый женский венчурный фонд,"Он будет фокусироваться на инвестициях в технологические, финтех, креативные и устойчивые проекты"
29.09.2025,Рынки игнорируют высокую вероятность шатдауна в США ,Белый дом готовит массовые увольнения госслужащих
29.09.2025,На бирже доллар продается выше отметки 548 тенге,"В обменных пунктах Астаны максимальный курс продажи американской валюты составил 550 тенге, Алматы – 550,5 тенге"
29.09.2025,"Рустам Тенизов о криптобиржах, инвестициях и цифровом тенге",Банк ЦентрКредит расширяет линейку инвестиционных продуктов и движется в сторону увеличения криптосервисов
27.09.2025,"Курсы валют на 27-29 сентября, цены на нефть и металлы  ","Официальный курс – 544,26 тенге за доллар США"
26.09.2025,Правительство представило для обсуждения списки ОКЭД,"Упрощенный режим сохраняется для торговли, услуг и сельского хозяйства"
26.09.2025," Средневзвешенный курс доллара на бирже составил 544,26 тенге ",За неделю нацвалюта незначительно ослабла
26.09.2025,С начала года евро подорожал на 18%,При этом нетто-продажи европейской валюты остаются положительными
26.09.2025,Запрет на выдачу кредитов добровольно установили более 3 млн казахстанцев,Как воспользоваться сервисом Стоп кредит
26.09.2025,Данные из США охладили надежды на быстрое снижение ставок ФРС ,Сегодня инвесторы ожидают публикации ключевого репорта недели – индекса личных расходов и потребления
26.09.2025,На бирже доллар продается выше отметки 544 тенге  ,"В обменных пунктах Астаны максимальный курс продажи американской валюты составил   547 тенге, Алматы – 545,5 тенге"
26.09.2025,S&P Global Ratings подтвердило кредитный рейтинг Solva на уровне B-/B ,Прогноз – «Стабильный»
26.09.2025,"Курсы валют на 26 сентября, цены на нефть и металлы","Официальный курс – 541,68 тенге за доллар США"
25.09.2025,В Казахстане ужесточат условия выдачи беззалоговых потребкредитов,Мера затронет заемщиков с просрочками и историей реструктуризации долга
25.09.2025,"Средневзвешенный курс доллара на бирже составил 541,81 тенге  ","В обменных пунктах столицы максимальный курс продажи американской валюты – 546 тенге, Алматы – 544,9 тенге"
25.09.2025,"ForteBank стал владельцем 26,8% акций Home Credit Bank",Сделка произошла 18 сентября
25.09.2025,Инвесторы Казахстана и Турции получат доступ к рынкам гособлигаций,Полномасштабный запуск проекта состоится после завершения технической интеграции
25.09.2025,Финрегулятор провел климатическое стресс-тестирование 11 банков,"Сектор сохраняет устойчивость даже в стрессовом сценарии, пояснили в АРРФР"
25.09.2025,"Нефть показала самый сильный рост с июля на 2,5% ",Жесткие заявления Дональда Трампа усиливают опасения в перебоях поставок сырья из России
25.09.2025,На бирже доллар продается выше отметки 541 тенге,"В обменных пунктах Астаны максимальный курс продажи американской валюты составил 545 тенге, Алматы – 544 тенге"
25.09.2025,Мадина Абылкасымова раскрыла подробности выхода на рынок двух банков ,"Глава АРРФР также рассказала, почему арабский ADCB принял решение получить универсальную лицензию"
25.09.2025,"Курсы валют на 25 сентября, цены на нефть и металлы","Официальный курс – 542,80 тенге за доллар США"
24.09.2025,Государство введет механизм спецвзносов для спасения системных банков,"Мадина Абылкасымова рассказала, где будут аккумулироваться средства и почему принято такое решение"
24.09.2025," Средневзвешенный курс доллара на бирже составил 542,60 тенге  ","В обменных пунктах столицы максимальный курс продажи американской валюты – 546 тенге, Алматы – 546,5 тенге"
24.09.2025,АРРФР: Банки заинтересованы в участии в системе жилищных сбережений,"По словам Мадины Абылкасымовой, рыночные ставки по ипотеке в Казахстане остаются «очень высокими»"
24.09.2025,Банки могут получить право начислять проценты по текущим счетам,Мадина Абылкасымова прокомментировала заявление Серика Жумангарина и указала на возможные риски этой инициативы
24.09.2025,Почему необходим новый подход к управлению рисками,О стратегической эволюции управления рисками в банковской сфере рассказали в Boston Consulting Group
24.09.2025,Куда инвестируют пенсионные накопления казахстанцев?,"Пенсионные активы под управлением Нацбанка и УИП составили почти 25,1 трлн тенге"
24.09.2025,"Инфляция, ослабление доллара и геополитика усилили спрос на «тихую гавань» ",Цена на золото приближается к отметке 3 800 долларов за унцию
24.09.2025,На бирже доллар продается выше отметки 543 тенге,В обменных пунктах Астаны и Алматы максимальный курс продажи американской валюты составил 547 тенге
24.09.2025,"Курсы валют на 24 сентября, цены на нефть и металлы ","Официальный курс – 545,01 тенге за доллар США"
23.09.2025,ForteBank стал крупным акционером Home Credit Bank,Уведомление об этом опубликовано на KASE
23.09.2025,В регуляторной песочнице Нацбанка запустили первый стейблкоин в тенге,Инновация поможет интегрировать решения крипторынка с традиционной финансовой инфраструктурой
23.09.2025,В интернет-магазине Нацбанка появилась опция самовывоза монет,Услуга касается только коллекционных монет с большим весом и высокой стоимостью
23.09.2025,"Средневзвешенный курс доллара на бирже составил 545,01 тенге","В обменных пунктах столицы максимальный курс продажи американской валюты – 548 тенге, Алматы – 546,7 тенге"
23.09.2025,"Buyback: Air Astana выкупила свои акции и ГДР на $2,2 млн ","С момента запуска второго этапа программы авиаперевозчик приобрел около 1,3 млн акций и 52,7 тысячи глобальных депозитарных расписок"
23.09.2025,"Крипторынок первым ушел в коррекцию: ликвидированы позиции на $1,5 млрд",Это может стать первым сигналом разворота на рынках
23.09.2025,На бирже доллар продается выше отметки 545 тенге ,"В обменных пунктах Астаны максимальный курс продажи американской валюты составил   548 тенге, Алматы - 546,3 тенге"
23.09.2025,"Курсы валют на 23 сентября, цены на нефть и металлы","Официальный курс – 542,67 тенге за доллар США"
22.09.2025,"Средневзвешенный курс доллара на бирже составил 542,93 тенге     ","В обменных пунктах Астаны максимальный курс продажи американской валюты – 547 тенге, Алматы - 545 тенге"
22.09.2025,"Halyk Bank выплатит второй транш дивидендов на сумму 229,1 млрд тенге",Размер дивиденда на акцию составит 21 тенге
22.09.2025,Компании S&P 500 сокращают программы обратного выкупа акций,Обзор от аналитиков BCC Invest
22.09.2025,В какие инструменты инвестируют средства спецрезерва КФГД? ,"На долю шести доверительных управляющих приходится 16% портфеля, 84% остается в управлении Нацбанка"
22.09.2025,Fitch подтвердило инвестиционный рейтинг Halyk на уровне «BBB-»,Прогноз – «Стабильный»
22.09.2025,США вновь грозит шатдаун: конгресс провалил голосование по бюджету,"Правительство Штатов может приостановить работу 1 октября, когда начнется новый финансовый год"
22.09.2025,На бирже доллар продается выше отметки 541 тенге,В обменных пунктах Астаны и Алматы максимальный курс продажи американской валюты составил 545 тенге
21.09.2025,Казахстан заинтересован в сотрудничестве в цифровизации финансовой экосистемы ,Об этом Касым-Жомарт Токаев сказал во время встречи с руководителями Goldman Sachs
20.09.2025,"Курсы валют на 20-22 сентября, цены на нефть и металлы ","Официальный курс – 541,19 тенге за доллар США"
19.09.2025,"Средневзвешенный курс доллара на бирже составил 541,19 тенге",За неделю нацвалюта незначительно ослабла
19.09.2025,Три категории налоговых режимов: что изменится для бизнеса и самозанятых ,Минфин разъяснил ключевые изменения в Налоговом кодексе
19.09.2025,Halyk расширяет BaaS-инфраструктуру,Банк запускает интеграцию с финтех-платформой TAS Group
19.09.2025,Инвестиция Nvidia в размере $5 млрд в Intel стала катализатором роста техсектора ,На таком фоне акции Intel подскочили на 23% – это лучший дневной результат более чем за 13 лет истории компании
19.09.2025,На бирже доллар продается выше отметки 541 тенге,"В обменных пунктах Астаны максимальный курс продажи американской валюты составил 545 тенге, Алматы – 544,5 тенге"
19.09.2025,В Казахстане внедрят три антикризисных режима для проблемных банков,БВУ обяжут разрабатывать и обновлять планы восстановления для предотвращения кризисов
19.09.2025,"Курсы валют на 19 сентября, цены на нефть и металлы  ","Официальный курс – 541,34 тенге за доллар США"
18.09.2025,"Средневзвешенный курс доллара на бирже составил 541,28 тенге    ","В обменных пунктах Астаны максимальный курс продажи американской валюты – 545 тенге, Алматы - 543,5 тенге"
18.09.2025,"Три кита цифрового факторинга: удобство, доступность, оперативность",В разработанном командой Halyk продукте «Цифровой факторинг для ТОО» максимально упрощены и ускорены все процессы
18.09.2025,Индекс доллара немного восстановился на комментариях главы Федрезерва,"Джером Пауэлл предупредил, что будущее снижение процентных ставок не гарантировано"
18.09.2025, На бирже доллар продается выше отметки 541 тенге   ,"В обменных пунктах Астаны максимальный курс продажи американской валюты составил  545 тенге, Алматы – 543,1 тенге"
18.09.2025,В Казахстане будет создан единый офис финансового омбудсмана,Это позволит обеспечить независимость рассмотрения обращений граждан
18.09.2025,Freedom Bank запустил кредитную программу для аграриев под 5%,"Фининститут заключил соглашение с Аграрной кредитной корпорацией, которое позволит банку кредитовать предприятия по выгодной ставке"
18.09.2025,ESG-стратегия и антифрод как основа устойчивости банка,"Первый вице-президент Банка ЦентрКредит Рустам Тенизов об ESG-оценке бизнеса, «зеленых» финансах и новых инструментах борьбы с киберугрозами"
18.09.2025,"Курсы валют на 18 сентября, цены на нефть и металлы","Официальный курс – 541,01 тенге за доллар США"
17.09.2025,"Средневзвешенный курс доллара на бирже составил 541,13 тенге  ","В обменных пунктах Астаны максимальный курс продажи американской валюты – 545 тенге, Алматы - 544 тенге"
17.09.2025,Казахстанцам с низкими доходами будут давать отсрочку по кредитам  ,Такое требование установлено для банков и микрофинансовых организаций
17.09.2025,Теперь супругам не нужно давать согласие при получении займа для ИП,Финрегулятор принял соответствующее постановление
17.09.2025,Федрезерв может снизить процентую ставку трижды до конца года ,Рынки в ожидании пресс-конференции главы ФРС Джерома Пауэлла
17.09.2025,На бирже доллар продается выше отметки 540 тенге,"В обменных пунктах Астаны максимальный курс продажи американской валюты составил 544 тенге, Алматы – 543,5 тенге"
17.09.2025," Курсы валют на 17 сентября, цены на нефть и металлы ","Официальный курс – 539,54 тенге за доллар США"
16.09.2025,"Средневзвешенный курс доллара на бирже составил 539,76 тенге  ","В обменных пунктах Астаны максимальный курс продажи американской валюты – 543 тенге, Алматы - 543,5 тенге"
