date,title,description
10.10.2025,МВФ и Банк Англии предупредили о пузыре на рынке искусственного интеллекта ,"На этом фоне биржевые индексы США продемонстрировали снижение на 0,1-0,5%"
09.10.2025,Инвесторы ожидают повторное снижение ставки ФРС в октябре,В фокусе внимания – выступление председателя Федрезерва Джерома Пауэлла на конференции региональных банков
09.10.2025,"Биткоин обновляет исторический максимум, эфир и BNB подхватывают импульс",Инвесторы переходят к более рискованным активам
09.10.2025,Revolut выходит на рынок Индии,Компания рассчитывает обслуживать в стране 20 млн клиентов к 2030 году
08.10.2025,Казахстанский фондовый рынок отреагировал на глобальный уход от риска,Умеренные распродажи затронули пять компаний из представительского списка
07.10.2025,Цена золота приближается к $4 тысячам за тройскую унцию ,"Рост обусловлен волнами политических изменений в США, Франции и Японии"
06.10.2025,В условиях неопределенности растет спрос на защитные активы,Обзор от аналитиков BCC Invest
06.10.2025,Investment board будет определять и сопровождать приоритетные проекты,"Специалисты определят направления экономики Казахстана для наиболее эффективного развития, сказал Серик Жумангарин"
06.10.2025,Акции и облигации продолжают ралли на фоне ажиотажа вокруг ИИ,Генеральный директор Goldman Sachs Дэвид Соломон предупреждает о риске коррекции в ближайшие 1-2 года
06.10.2025,Инвестиционные стратегии - обзор ключевых подходов и временных горизонтов,Почему один и тот же метод трейдинга может оказаться успешным для одного и провальным для другого?
03.10.2025,Спрос на ИИ перевесил опасения инвесторов по поводу шатдауна в США,Полупроводники вытянули американские индексы на новые максимумы
03.10.2025,Бухтарминскую ГЭС передали Qazaq Green Power PLC,В Самрук-Энерго рассказали о подробностях сделки
02.10.2025,Илон Маск стал богатейшим человеком в истории с состоянием свыше $500 млрд,Это произошло благодаря росту акций Tesla
02.10.2025,"По первой программе выкупа ГДР Halyk приобрел бумаги на $22,3 млн  ","Это 44,6% от запланированных 50 млн долларов"
02.10.2025,Рост инфляции усиливает вероятность ужесточения денежно-кредитной политики,"Месячный показатель ИПЦ ускорился до 1,1%, а годовой составил 12,9%"
02.10.2025,"Криптовалютизация, спор о биткоин-резерве США и сигналы «перезагрузки» ",Что произошло на рынке за последние семь дней?
02.10.2025,Berkshire Hathaway близка к сделке с Occidental на $10 млрд - СМИ,Сделка может стать для инвесткомпании крупнейшей с 2022 года
01.10.2025,Bain Capital хочет купить сеть кофеен Costa Coffee - СМИ,"Компанию оценили в 2,7 млрд долларов"
01.10.2025,Финрегулятор выдал Halyk разрешение на покупку узбекского Click,Принято соответствующее постановление
01.10.2025,Halyk запустил еще одну программу выкупа своих ГДР ,До 1 октября 2026 года банк планирует выкупить глобальные депозитарные расписки на 50 млн долларов
01.10.2025,MA7 Ventures инвестировала в платформу по анализу продуктивности IT-команд PanDev Metrics,В целом проект привлек 400 тысяч долларов
01.10.2025,"В первом полугодии текущий счет сложился с дефицитом в $3,9 млрд",Ухудшение произошло из-за роста импорта товаров и снижения экспорта
30.09.2025,Государственный фонд цифровых активов запустят в 2026 году,"Создана концепция ГФЦА, ведется работа по формированию операционной и технической инфраструктуры"
30.09.2025,Цены на нефть снижаются из-за ожиданий решения ОПЕК+ ,Члены альянса с высокой вероятностью одобрят очередное повышение объемов добычи
29.09.2025,Золото растет шестую неделю подряд,Обзор от аналитиков BCC Invest
29.09.2025,В Казахстане запустили первый крипторезерв – Alem Crypto Fund,Он зарегистрирован в экосистеме МФЦА
29.09.2025,В Казахстане создали первый женский венчурный фонд,"Он будет фокусироваться на инвестициях в технологические, финтех, креативные и устойчивые проекты"
29.09.2025,Рынки игнорируют высокую вероятность шатдауна в США ,Белый дом готовит массовые увольнения госслужащих
27.09.2025,Иностранные инвесторы скупали акции США рекордными темпами во втором квартале,Активный спрос на американские бумаги отчасти вызван интересом к крупным ИТ-компаниям
26.09.2025,Дональд Трамп подписал указ о сделке по TikTok,Контрольный пакет акций соцсети будет передан американским инвесторам
26.09.2025,"Нью-Йорк, Лондон и Гонконг лидируют в рейтинге финцентров мира ",Астана занимает первое место среди финансовых центров Восточной Европы и Центральной Азии
25.09.2025,Apple может стать очередным инвестором Intel - СМИ,Переговоры находятся на ранней стадии
25.09.2025,"ForteBank стал владельцем 26,8% акций Home Credit Bank",Сделка произошла 18 сентября
25.09.2025,Инвесторы Казахстана и Турции получат доступ к рынкам гособлигаций,Полномасштабный запуск проекта состоится после завершения технической интеграции
25.09.2025,"Акции Chery подскочили на 11,2% на дебютных торгах в Гонконге",Компания разместила почти 300 млн акций
25.09.2025,"Объем инвестиций в основной капитал в Казахстане вырос на 14,3%",На бюджетные средства в них приходятся 23%
25.09.2025,"Нефть показала самый сильный рост с июля на 2,5% ",Жесткие заявления Дональда Трампа усиливают опасения в перебоях поставок сырья из России
25.09.2025,Uptober под вопросом: резкая коррекция остудила энтузиазм экспертов ,"По итогам 2025 года число криптомиллионеров выросло на 40%, криптомиллиардеров стало на 29% больше"
25.09.2025,Oracle хочет разместить облигации на $15 млрд - СМИ,"Над размещением работают Bank of America, Citigroup, Deutsche, Goldman Sachs, HSBC и JPMorgan"
25.09.2025,Lego выкупит сеть развлекательных центров за 200 млн фунтов,Сделку заключат с оператором тематических парков Merlin Entertainments
24.09.2025,Банки могут получить право начислять проценты по текущим счетам,Мадина Абылкасымова прокомментировала заявление Серика Жумангарина и указала на возможные риски этой инициативы
24.09.2025,Куда инвестируют пенсионные накопления казахстанцев?,"Пенсионные активы под управлением Нацбанка и УИП составили почти 25,1 трлн тенге"
24.09.2025,"Инфляция, ослабление доллара и геополитика усилили спрос на «тихую гавань» ",Цена на золото приближается к отметке 3 800 долларов за унцию
23.09.2025,"Buyback: Air Astana выкупила свои акции и ГДР на $2,2 млн ","С момента запуска второго этапа программы авиаперевозчик приобрел около 1,3 млн акций и 52,7 тысячи глобальных депозитарных расписок"
23.09.2025,Цена золота превысила $3800 за унцию и обновила рекорд,Поддержку ценам оказывают ожидания дальнейшего снижения процентных ставок ФРС США и ослабление доллара
23.09.2025,"Крипторынок первым ушел в коррекцию: ликвидированы позиции на $1,5 млрд",Это может стать первым сигналом разворота на рынках
22.09.2025,Oracle переобучит алгоритм TikTok и обеспечит его безопасность в США,Дональд Трамп намерен продлить срок для проведения сделки по продаже соцсети консорциуму американских инвесторов еще на 120 дней
22.09.2025,PepsiCo приступила к строительству завода в Алматинской области,Объем инвестиций в проект составит 368 млн долларов
22.09.2025,"Halyk Bank выплатит второй транш дивидендов на сумму 229,1 млрд тенге",Размер дивиденда на акцию составит 21 тенге
22.09.2025,В какие инструменты инвестируют средства спецрезерва КФГД? ,"На долю шести доверительных управляющих приходится 16% портфеля, 84% остается в управлении Нацбанка"
22.09.2025,Объем капвложений в школьную инфраструктуру достиг пятилетнего максимума,За восемь месяцев 2025 года показатель превысил 700 млрд тенге
22.09.2025,Инвестиции в Карагандинскую область выросли на 11%,За восемь месяцев регион привлек 644 млрд тенге
22.09.2025,США вновь грозит шатдаун: конгресс провалил голосование по бюджету,"Правительство Штатов может приостановить работу 1 октября, когда начнется новый финансовый год"
19.09.2025,Рост инвестиций существенно замедлится к концу года - Halyk Finance,Аналитики связывают это с исчерпанием эффекта низкой базы и снижением размеров ежемесячных трансфертов из Нацфонда
18.09.2025,Индекс доллара немного восстановился на комментариях главы Федрезерва,"Джером Пауэлл предупредил, что будущее снижение процентных ставок не гарантировано"
18.09.2025,Как сделать трендовый ролик для Instagram за пару минут? ,"Стартапер Закиржан Айсабаев рассказал, как устроена его платформа, каким образом он привлек 150 тысяч долларов и сколько времени заняли переговоры с Meta"
18.09.2025,Как решение ФРС может повлиять на судьбу крипторынка,Участники торгов перешли в режим «подождать и посмотреть»
18.09.2025,Компании США инвестируют в техсектор Великобритании около $42 млрд,"Среди них – Microsoft, NVIDIA, Google, OpenAI и CoreWeave"
18.09.2025,"Chery планирует IPO в Гонконге на $1,2 млрд","Китайский автопроизводитель продаст 297,4 млн бумаг"
17.09.2025,Федрезерв может снизить процентую ставку трижды до конца года ,Рынки в ожидании пресс-конференции главы ФРС Джерома Пауэлла
16.09.2025,Welt Konnect заинтересовалась созданием цифрового банка в Казахстане,Об этом стало известно на встрече руководства KAZAKH INVEST и пакистанской компании
16.09.2025,Направление рынкам на этой неделе задает Федрезерв,"Рисковые активы растут, золото дорожает, а доллар теряет позиции"
15.09.2025,Золото выходит из летнего затишья,Обзор от аналитиков BCC Invest
12.09.2025,Paramount Skydance хочет купить Warner Bros. Discovery - СМИ,Компания планирует оплатить большую часть сделки деньгами
12.09.2025,Gemini провела IPO по цене выше объявленного диапазона,"Рыночная стоимость криптовалютной биржи составляет около 3,3 млрд долларов"
12.09.2025,В августе мировая добыча нефти достигла исторического максимума,"МЭА предупредило, что на мировом рынке нефти рост предложения значительно опережает рост спроса"
12.09.2025,Kering отложила покупку Valentino до 2029 года,"Компания приобрела 30% модного дома в 2023 году за 1,7 млрд евро"
11.09.2025,Oracle за день прибавила $244 млрд капитализации,Резкий рост акций компании стал драйвером более широкой волны подъема в сегменте техкомпаний
11.09.2025,Альтсезон для избранных криптовалют и ожидание шоковой терапии от ФРС,На криптовалютном рынке сохранялась сдержанная динамика
11.09.2025,ExxonMobil приобретает активы Superior Graphite,Компания намерена приступить к производству товарного синтетического графита в 2029 году
11.09.2025,Производитель электромобилей Nio готовит размещение акций на $1 млрд,Привлеченные средства компания намерена инвестировать в исследования
10.09.2025,Ожидание снижения ставок в США: как реагирует рынок и чего ждать инвесторам,Сентябрьское заседание Федрезерва станет водоразделом для глобальных рынков
10.09.2025,Дональд Трамп призвал ЕС ввести пошлины в отношении Китая и Индии,"Аналитики отмечают, что расширение действия вторичных тарифов может нарушить экспорт российской нефти и сократить глобальное предложение"
09.09.2025,Инвесторы играют на двух фронтах: спрос растет на рисковые и защитные активы ,Это происходит на ожиданиях возобновления цикла снижения ставок Федрезервом
09.09.2025,До $1 млрд направят на развитие высокотехнологичных отраслей,"Средства будут привлечены из Нацфонда и банков второго уровня, программу разработают совместно с Национальным банком"
05.09.2025,Отчет по занятости может прояснить перспективы монетарной политики ФРС ,Рынок закладывает почти 100% вероятность снижения ставки на 25 б.п. на заседании 17 сентября
04.09.2025,"OpenAI увеличила объем вторичной продажи акций до $10,3 млрд - СМИ",Оценка стоимости компании по итогам продажи может составить 500 млрд долларов
04.09.2025,"Открытая позиция по операциям Нацбанка резко уменьшилась до 5,4 трлн тенге",Отмечается падение изъятий через депозитные аукционы и рост средств на корсчетах
04.09.2025,Эксперты сохраняют оптимизм на фоне падения крипторынка,"На рынке наблюдалась необычная ситуация - несмотря на позитивные прогнозы и рост институционального интереса, котировки продолжали снижаться"
04.09.2025,OpenAI покупает стартап Statsig,Сделка будет полностью оплачена акциями разработчика чат-бота ChatGPT
03.09.2025,Казахстанская ITS планирует открыть доступ к индийским бумагам в 2025 году,Об этом стало известно во время конференции ITS Ideas 2025
03.09.2025,Рынок выбирает золото на фоне тарифных рисков в США,Инвесторы опасаются инфляции и дефицита бюджета в Соединенных Штатах Америки
02.09.2025,Китайская компания построит в Семее жилой квартал,"Объем инвестиций в проект составит 106,8 млрд тенге"
02.09.2025,"Инфляция в августе может находиться в пределах 0,7-0,9% ",Умеренный прирост потребительских цен объясняется комбинированным воздействием разнонаправленных факторов
