date,title,description
10.10.2025,На портале eGov.kz изменился порядок авторизации ,Пользователю необходимо подтвердить свою личность с помощью СМС-кода от 1414
09.10.2025,Какими соцсетями и мессенджерами пользуется молодежь в Казахстане ,Более 66% представителей новых поколений регулярно проводит досуг в онлайне
09.10.2025,"Биткоин обновляет исторический максимум, эфир и BNB подхватывают импульс",Инвесторы переходят к более рискованным активам
08.10.2025,Казахстанский стартап CYBERPACK.AI получил $25 тысяч от Павла Дурова,"Полученные средства будут направлены на масштабирование производства, развитие мобильного приложения и AI-модуля, расширение штата"
07.10.2025,Создание AI-лаборатории и IT-интерната обсудил аким Алматы с Павлом Дуровым,Основатель Telegram выразил заинтересованность в сотрудничестве
07.10.2025,Тюркские государства могут учредить Совет по кибербезопасности,"Касым-Жомарт Токаев обратил внимание, что многие страны столкнулись с кибератаками – новой угрозой, не имеющей границ"
07.10.2025, Центр цифровых инноваций ОТГ предложил создать Касым-Жомарт Токаев,"Следует рационально использовать потенциал цифровизации и ИИ, полагает глава государства"
07.10.2025,В Казахстане разрабатывают приложение по выявлению приписок в здравоохранении,Пациенты будут подтверждать или опровергать факт получения медпомощи
06.10.2025,Astana Hub запускает Industrial AI Acceleration,Программа направлена на внедрение цифровых и AI-решений в ключевые отрасли экономики
06.10.2025,О кибербезопасности в эпоху Starlink рассказали на Digital Bridge,"Масштаб цифровизации несет реальную угрозу, считает эксперт"
04.10.2025,В Астане презентовано беспилотное такси,Этот проект Jet Sharing планирует запустить в 2026 году
04.10.2025,180 стартапов соревновались на Astana Hub Battle,В этом году общий призовой фонд составил 125 тысяч долларов
04.10.2025,В Карагандинской области запустили новое приложение для туристов,"Qazeli.kz поможет подобрать маршрут, зарезервировать жильё или экскурсию"
03.10.2025,Как правительства и бизнес формируют будущее с помощью ИИ,Кай-Фу Ли призвал к ответственности лидеров ИИ-компаний за возможные последствия
02.10.2025,Касым-Жомарт Токаев принял основателя Telegram Павла Дурова,"Обсуждались вопросы сотрудничества в сферах образования, искусственного интеллекта и кибербезопасности"
02.10.2025,Президент обсудил с представителями ОАЭ сотрудничество в сфере ИИ,"Глава государства отметил, что ОАЭ являются признанным мировым лидером в применении и развитии этой технологии"
02.10.2025,Павел Дуров объявил об открытии ИИ-лаборатории в Казахстане,Telegram реализует в РК совместный проект
02.10.2025,Президент предложил переименовать форум Digital Bridge в AI Bridge,"Новый фокус деятельности форума придаст дополнительный импульс международному сотрудничеству, считает Касым-Жомарт Токаев"
02.10.2025,Президент: Цифровизация и нейросети должны стать новой философией госуправления,Все нормативные акты о взаимодействии государства с гражданами будут проходить цифровую экспертизу
02.10.2025,Переход к цифровому управлению - стратегическая цель на три года,"Об этом сказал президент Касым-Жомарт Токаев, подчеркнув, что общественная жизнь в Казахстане станет абсолютно другой"
02.10.2025,Применение ИИ в военной сфере и кибератаках считает недопустимым президент ,"Искусственный интеллект должен использоваться исключительно в мирных целях, заявил глава государства"
02.10.2025,"Криптовалютизация, спор о биткоин-резерве США и сигналы «перезагрузки» ",Что произошло на рынке за последние семь дней?
01.10.2025,Глава РК высказался о рисках ИИ в образовании ,"Искусственный интеллект может использоваться только в качестве вспомогательного средства в обучении, отметил он"
01.10.2025,В Казахстане создадут онлайн-платформу на базе ИИ для переобучения работников,Такое поручение правительству дал глава государства
01.10.2025,Мы поставили перед собой амбициозную цель - президент о развитии ИИ,"Он подчеркнул, на сегодня ИИ оказывает определяющее влияние на развитие экономики, науки и образования"
01.10.2025,Исследовательский университет в области ИИ создадут в Казахстане ,Учебному заведению будет присвоен особый статус
30.09.2025,Сервис по доставке документов из ЦОНов запустила Госкорпорация ,Заказать курьера можно по 15 видам государственных услуг
30.09.2025,Bereke Bank внедряет роботизированное обслуживание на казахском языке,Благодаря платформе Digital2VerbAI от BSS банк выводит клиентский сервис на новый уровень
29.09.2025,В Казахстане запустили первый крипторезерв – Alem Crypto Fund,Он зарегистрирован в экосистеме МФЦА
29.09.2025,Президент поручил Жаслану Мадиеву укрепить позиции РК как регионального цифрового хаба ,Поставлена задача по реализации приоритетной цели Послания по превращению Казахстана в цифровое государство
26.09.2025,Технологическое развитие - вопрос выживания Казахстана как независимой страны - президент ,"Тотальная цифровизация позволит значительно улучшить качество жизни казахстанцев, полагает глава государства"
26.09.2025,Подготовить детальный план наукограда в Курчатове поручил глава государства,"Предстоит разработать эффективные механизмы ГЧП для укрепления ядерной инфраструктуры, заявил президент"
26.09.2025,Развернулась конкуренция за обладание передовыми технологиями - президент ,"Глава государства подчеркнул, что экономический рост напрямую связан с наукой"
26.09.2025,INTEGRA CITY представила цифровые решения для умных городов,Проекты презентовали на выставке Smart City Expo Kuala Lumpur 2025
26.09.2025,Подписана Дорожная карта по внедрению ИИ в промышленность Казахстана,Документ рассчитан на 2025–2026 годы
26.09.2025,Девять банков разрабатывают номинированный в евро стейблкоин,Его выпуск запланирован на второе полугодие 2026 года
25.09.2025,Министерство ИИ и цифрового развития представило новый логотип,Он объединяет символику высоких технологий и национальных ценностей
25.09.2025,Президент проведет заседание Национального совета по науке и технологиям,Анонс опубликовала пресс-служба Акорды
25.09.2025,Uptober под вопросом: резкая коррекция остудила энтузиазм экспертов ,"По итогам 2025 года число криптомиллионеров выросло на 40%, криптомиллиардеров стало на 29% больше"
24.09.2025,В мажилисе приняли закон об искусственном интеллекте,Документ определяет принципы этичного использования ИИ
24.09.2025,Утечки персональной информации и монетизация данных: что ждет бизнес?,"Важно не перегнуть палку между безопасностью и развитием технологий, полагают казахстанские регуляторы"
23.09.2025,Как меняется рынок труда в IT-секторе Казахстана,Ключевой тренд - автоматизация бизнес-процессов и внедрение в работу искусственного интеллекта
