date,tonia,tonia-variability
10-10-25,16.07,
09-10-25,15.59,-2.99
08-10-25,15.53,-0.38
07-10-25,15.52,-0.06
06-10-25,15.56,0.26
03-10-25,15.72,1.03
02-10-25,15.73,0.06
01-10-25,15.86,0.83
30-09-25,15.7,-1.01
29-09-25,15.74,0.25
26-09-25,15.91,1.08
25-09-25,16.07,1.01
24-09-25,15.85,-1.37
23-09-25,15.77,-0.5
22-09-25,15.77,0.0
19-09-25,15.72,-0.32
18-09-25,15.63,-0.57
17-09-25,15.59,-0.26
16-09-25,15.78,1.22
15-09-25,15.75,-0.19
12-09-25,15.8,0.32
11-09-25,16.33,3.35
10-09-25,16.41,0.49
09-09-25,16.11,-1.83
08-09-25,15.9,-1.3
05-09-25,15.84,-0.38
04-09-25,15.83,-0.06
03-09-25,15.65,-1.14
02-09-25,15.69,0.26
29-08-25,15.66,-0.19
28-08-25,15.88,1.4
27-08-25,15.7,-1.13
26-08-25,15.55,-0.96
25-08-25,15.51,-0.26
22-08-25,15.5,-0.06
21-08-25,15.5,0.0
20-08-25,15.5,0.0
19-08-25,15.5,0.0
18-08-25,15.5,0.0
15-08-25,15.5,0.0
14-08-25,15.5,0.0
13-08-25,15.5,0.0
12-08-25,15.5,0.0
11-08-25,15.5,0.0
08-08-25,15.51,0.06
07-08-25,15.51,0.0
06-08-25,15.51,0.0
05-08-25,15.52,0.06
04-08-25,15.54,0.13
01-08-25,15.54,0.0
31-07-25,15.57,0.19
30-07-25,15.65,0.51
29-07-25,15.59,-0.38
28-07-25,15.64,0.32
25-07-25,15.65,0.06
24-07-25,15.62,-0.19
23-07-25,15.63,0.06
22-07-25,15.64,0.06
21-07-25,15.65,0.06
18-07-25,15.68,0.19
17-07-25,15.7,0.13
16-07-25,15.56,-0.89
15-07-25,15.51,-0.32
14-07-25,15.51,0.0
11-07-25,15.51,0.0
10-07-25,15.55,0.26
09-07-25,15.53,-0.13
08-07-25,15.51,-0.13
04-07-25,15.52,0.06
03-07-25,15.51,-0.06
02-07-25,15.52,0.06
01-07-25,15.54,0.13
30-06-25,15.5,-0.26
27-06-25,15.5,0.0
26-06-25,15.51,0.06
25-06-25,15.52,0.06
24-06-25,15.51,-0.06
23-06-25,15.51,0.0
20-06-25,15.52,0.06
19-06-25,15.52,0.0
18-06-25,15.59,0.45
17-06-25,15.67,0.51
16-06-25,15.62,-0.32
13-06-25,15.57,-0.32
12-06-25,15.55,-0.13
11-06-25,15.75,1.29
10-06-25,15.41,-2.16
09-06-25,14.96,-2.92
05-06-25,15.04,0.53
04-06-25,14.97,-0.47
03-06-25,15.17,1.34
02-06-25,15.5,2.18
30-05-25,15.42,-0.52
29-05-25,15.46,0.26
28-05-25,15.43,-0.19
27-05-25,15.69,1.69
26-05-25,16.01,2.04
23-05-25,16.0,-0.06
22-05-25,15.73,-1.69
21-05-25,15.65,-0.51
20-05-25,15.61,-0.26
19-05-25,15.82,1.35
16-05-25,15.99,1.07
15-05-25,15.75,-1.5
14-05-25,15.69,-0.38
13-05-25,15.53,-1.02
12-05-25,15.62,0.58
08-05-25,15.81,1.22
06-05-25,15.78,-0.19
05-05-25,15.78,0.0
02-05-25,15.64,-0.89
30-04-25,15.54,-0.64
29-04-25,15.6,0.39
28-04-25,15.73,0.83
25-04-25,15.85,0.76
24-04-25,16.09,1.51
23-04-25,16.01,-0.5
22-04-25,16.12,0.69
21-04-25,15.94,-1.12
18-04-25,15.63,-1.94
17-04-25,15.51,-0.77
16-04-25,15.64,0.84
15-04-25,15.64,0.0
14-04-25,15.75,0.7
11-04-25,15.91,1.02
10-04-25,15.9,-0.06
09-04-25,16.61,4.47
08-04-25,16.83,1.32
07-04-25,16.16,-3.98
04-04-25,15.84,-1.98
03-04-25,15.73,-0.69
02-04-25,16.02,1.84
01-04-25,16.82,4.99
31-03-25,16.66,-0.95
28-03-25,16.17,-2.94
27-03-25,15.82,-2.16
26-03-25,15.78,-0.25
20-03-25,16.07,1.84
19-03-25,16.06,-0.06
18-03-25,15.72,-2.12
17-03-25,15.63,-0.57
14-03-25,15.64,0.06
13-03-25,15.85,1.34
12-03-25,15.51,-2.15
11-03-25,15.58,0.45
07-03-25,14.65,-5.97
06-03-25,14.42,-1.57
05-03-25,14.69,1.87
04-03-25,14.53,-1.09
03-03-25,14.54,0.07
28-02-25,14.71,1.17
27-02-25,15.08,2.52
26-02-25,15.71,4.18
25-02-25,15.72,0.06
24-02-25,15.05,-4.26
21-02-25,14.76,-1.93
20-02-25,14.82,0.41
19-02-25,14.91,0.61
18-02-25,15.11,1.34
17-02-25,14.65,-3.04
14-02-25,14.75,0.68
13-02-25,14.63,-0.81
12-02-25,14.62,-0.07
11-02-25,14.63,0.07
10-02-25,14.68,0.34
07-02-25,14.87,1.29
06-02-25,14.79,-0.54
05-02-25,14.82,0.2
04-02-25,14.78,-0.27
03-02-25,14.62,-1.08
31-01-25,14.58,-0.27
30-01-25,14.41,-1.17
29-01-25,14.46,0.35
28-01-25,14.82,2.49
27-01-25,14.97,1.01
24-01-25,15.06,0.6
23-01-25,14.98,-0.53
22-01-25,14.84,-0.93
21-01-25,14.76,-0.54
20-01-25,14.83,0.47
17-01-25,14.99,1.08
16-01-25,14.71,-1.87
15-01-25,14.76,0.34
14-01-25,14.63,-0.88
13-01-25,14.83,1.37
10-01-25,15.93,7.42
09-01-25,14.68,-7.85
08-01-25,14.31,-2.52
06-01-25,14.3,-0.07
05-01-25,14.43,0.91
31-12-24,14.44,0.07
30-12-24,15.02,4.02
27-12-24,15.05,0.2
26-12-24,15.08,0.2
25-12-24,14.68,-2.65
24-12-24,14.87,1.29
23-12-24,14.92,0.34
20-12-24,14.91,-0.07
19-12-24,14.78,-0.87
18-12-24,14.73,-0.34
17-12-24,14.79,0.41
13-12-24,14.8,0.07
12-12-24,14.71,-0.61
11-12-24,14.78,0.48
10-12-24,14.89,0.74
09-12-24,15.02,0.87
06-12-24,14.82,-1.33
05-12-24,14.57,-1.69
04-12-24,14.62,0.34
03-12-24,14.78,1.09
02-12-24,14.9,0.81
29-11-24,14.96,0.4
28-11-24,14.02,-6.28
27-11-24,13.71,-2.21
26-11-24,13.69,-0.15
25-11-24,13.71,0.15
22-11-24,13.78,0.51
21-11-24,13.77,-0.07
20-11-24,13.61,-1.16
19-11-24,13.58,-0.22
18-11-24,13.65,0.52
15-11-24,13.65,0.0
14-11-24,13.67,0.15
13-11-24,13.82,1.1
12-11-24,13.81,-0.07
11-11-24,13.73,-0.58
08-11-24,13.6,-0.95
07-11-24,13.66,0.44
06-11-24,13.76,0.73
05-11-24,13.66,-0.73
04-11-24,13.63,-0.22
01-11-24,13.62,-0.07
31-10-24,13.67,0.37
30-10-24,13.58,-0.66
29-10-24,13.5,-0.59
28-10-24,13.77,2.0
24-10-24,13.81,0.29
23-10-24,13.79,-0.14
22-10-24,14.52,5.29
21-10-24,14.03,-3.37
18-10-24,13.77,-1.85
17-10-24,13.84,0.51
16-10-24,13.94,0.72
15-10-24,13.8,-1.0
14-10-24,13.79,-0.07
11-10-24,13.83,0.29
10-10-24,13.99,1.16
09-10-24,13.79,-1.43
08-10-24,14.1,2.25
07-10-24,13.85,-1.77
04-10-24,13.52,-2.38
03-10-24,13.33,-1.41
02-10-24,13.28,-0.38
01-10-24,13.23,-0.38
30-09-24,13.18,-0.38
27-09-24,13.39,1.59
26-09-24,14.06,5.0
25-09-24,14.44,2.7
24-09-24,14.17,-1.87
23-09-24,13.38,-5.58
20-09-24,13.26,-0.9
19-09-24,13.26,0.0
18-09-24,13.29,0.23
17-09-24,13.35,0.45
16-09-24,13.34,-0.07
13-09-24,13.22,-0.9
12-09-24,13.25,0.23
11-09-24,13.62,2.79
10-09-24,13.76,1.03
09-09-24,13.5,-1.89
06-09-24,13.25,-1.85
05-09-24,13.18,-0.53
04-09-24,13.04,-1.06
03-09-24,12.97,-0.54
02-09-24,13.07,0.77
29-08-24,13.29,1.68
28-08-24,13.24,-0.38
27-08-24,13.19,-0.38
26-08-24,13.14,-0.38
23-08-24,13.13,-0.08
22-08-24,13.12,-0.08
21-08-24,13.13,0.08
20-08-24,13.18,0.38
19-08-24,13.2,0.15
16-08-24,13.14,-0.45
15-08-24,13.03,-0.84
14-08-24,13.14,0.84
13-08-24,13.05,-0.68
12-08-24,12.99,-0.46
09-08-24,13.0,0.08
08-08-24,12.99,-0.08
07-08-24,13.0,0.08
06-08-24,12.99,-0.08
05-08-24,13.03,0.31
02-08-24,13.02,-0.08
01-08-24,13.42,3.07
31-07-24,13.75,2.46
30-07-24,13.42,-2.4
