date,gold_usd
0,2025-10-10,3986.275
1,2025-10-09,4029.925
2,2025-10-08,4037.4
3,2025-10-07,3970.65
4,2025-10-06,3945.7
5,2025-10-03,3873.2
6,2025-10-02,3877.8
7,2025-10-01,3879.05
8,2025-09-30,3815.925
9,2025-09-29,3819.85
10,2025-09-26,3759.3
11,2025-09-25,3741.575
12,2025-09-24,3764.825
13,2025-09-23,3786.1000000000004
14,2025-09-22,3720.475
15,2025-09-19,3660.5
16,2025-09-18,3658.075
17,2025-09-17,3675.35
18,2025-09-16,3695.4
19,2025-09-15,3647.925
20,2025-09-12,3648.225
21,2025-09-11,3623.75
22,2025-09-10,3648.575
23,2025-09-09,3651.825
24,2025-09-08,3621.575
25,2025-09-05,3571.575
26,2025-09-04,3542.875
27,2025-09-03,3546.55
28,2025-09-02,3484.0
29,2025-09-01,3471.8500000000004
30,2025-08-29,3418.325
31,2025-08-28,3402.75
32,2025-08-27,3379.125
33,2025-08-26,3370.0
34,2025-08-22,3331.325
35,2025-08-21,3339.0
36,2025-08-20,3335.95
37,2025-08-19,3336.175
38,2025-08-18,3340.425
39,2025-08-15,3339.925
40,2025-08-14,3350.2749999999996
41,2025-08-13,3363.2250000000004
42,2025-08-12,3345.425
43,2025-08-11,3357.25
44,2025-08-08,3395.625
45,2025-08-07,3379.85
46,2025-08-06,3367.35
47,2025-08-05,3369.275
48,2025-08-04,3369.55
49,2025-08-01,3320.875
50,2025-07-31,3302.825
51,2025-07-30,3318.0
52,2025-07-29,3320.75
53,2025-07-28,3321.725
54,2025-07-25,3345.05
55,2025-07-24,3363.7
56,2025-07-23,3421.8500000000004
57,2025-07-22,3397.725
58,2025-07-21,3374.3999999999996
59,2025-07-18,3353.35
60,2025-07-17,3323.9
61,2025-07-16,3331.6000000000004
62,2025-07-15,3352.3
63,2025-07-14,3357.3500000000004
64,2025-07-11,3344.075
65,2025-07-10,3319.325
66,2025-07-09,3294.1000000000004
67,2025-07-08,3318.5
68,2025-07-07,3310.675
69,2025-07-04,3332.8
70,2025-07-03,3341.075
71,2025-07-02,3337.1
72,2025-07-01,3346.075
73,2025-06-30,3282.35
74,2025-06-27,3279.0
75,2025-06-26,3329.45
76,2025-06-25,3320.325
77,2025-06-24,3311.0
